,id,intitule,description,dateCreation,dateActualisation,lieuTravail,romeCode,appellationlibelle,typeContrat,salaire,dureeTravailLibelleConverti,qualificationLibelle,secteurActiviteLibelle,langues,formations,permis,latitude,longitude
0,168BRDV,Data Analyst (H/F),"À propos de SkillsFirst :

SkillsFirst accompagne les entreprises ayant un besoin d'assistance technique par :

L'intervention de compétences d'experts
Le développement d'applications sur mesure
La mise en place d'un lieu dédié aux collaborateurs, l'IT Corner.
Nos valeurs : Ecoute, Réactivité, Professionnalisme.


SkillsFirst affiche une grande ambition de croissance et recherche pour cela un profil ambitieux avec des perspectives d'évolution.


Nous recherchons un.e Data Analyst confirmé.e, globalement vos missions seront les suivantes :

Contribuer au bon fonctionnement du socle data et des applications clientes :

o Documenter les procédures de collecte, traitement, analyse et restitution des données
o Documenter les flux de données
o Documenter les règles de gestion concernant les différentes offres
o Opérer les traitements nécessitant une intervention manuelle
o Opérer les traitements délégués par les offreurs au cas par cas

Vérifier le bon fonctionnement du socle data et des applications clientes :

o Contrôler la conformité des traitements et la qualité des données
o Vérifier la fréquence de collecte des données sources et des traitements programmés
o Analyser les erreurs et anomalies et proposer des plans de corrections
o Vérifier la disponibilité et la performance des applications clientes
o Produire des KPI de suivi du socle data et d'usages des applications clientes

Assurer le support des clients dans l'utilisation des applications :

o Générer des reportings à la demande
o Donner des explications/éclairages sur les données fournies
o Conseiller dans l'utilisation des applications

 
Connaissances techniques :

Data & Automatisation : Processus et cycle de vie data, bases de données (SQL), analyse et qualité des données, sécurité des données, RGPD, batch de traitement, Excel avancé, POWER BI avancé.

La connaissance des environnements Microsoft 365 est un énorme plus.

 

Compétences attendues :

Rigueur, logique, méthode, volonté de simplifier
Autonomie, bon relationnel et pédagogie
Bonne communication, capacité à vulgariser
Capacité à écouter et à travailler en équipe


Vous avez impérativement un anglais à minima professionnel (parlé).",2024-01-22,2024-01-22,75 - PARIS 16,M1403,Data analyst,CDI,Annuel de 42000 Euros à 48000 Euros sur 12 mois,Temps plein,Technicien,Formation continue d'adultes,,,,48.859,2.347
1,0123421,Chargé(e) d'études statistiques / Data analyst / Data scientist F/H - Etudes socio-économiques (H/F),"Descriptif du poste:

Sous la responsabilité du responsable de département, il/elle a pour principales missions de :
* Réaliser des études et des analyses relatives au marché du travail et au rôle de l'Assurance chômage dans la couverture du risque chômage (séniors ; création d entreprise ) ;
* Réaliser des analyses sur les changements de règles de l'Assurance chômage et des simulations de leurs impacts (financiers, sur les populations ) (étude impact).
* Pour remplir ces missions, le/la chargé(e) d'études :
* Exploiter des données individuelles sur l'indemnisation du chômage et l'emploi, (FNA, DSN, enquêtes Insee ) sur la plateforme Big Data de l'Unédic (Cloudera, Spark, R, Python, Bitbucket) ou sur le CASD ;
* Mettre en oeuvre des méthodes statistiques et économétrique d'analyse des données (statistique descriptive, modélisation et économétrie, IA ) ;
* Développer une expertise sur la réglementation chômage, le marché du travail et la protection sociale de façon plus générale ;
* Contribuer au développement des modèles de micro-simulations de l'Unédic et au partage des savoirs au sein de la direction ;
* Rédiger des notes et des études, présente ses travaux en interne (direction générale, partenaires sociaux) ou en externe (séminaires, partenaires ).
Ces travaux se font en lien avec les membres de la direction et des autres services de l'Unédic (juristes, pôle data, communication notamment), et avec les partenaires de l'Unédic (Dares, Pôle emploi, Urssaf CN, Insee, Drees ).
Les missions, variées, sont très en lien avec l'actualité sociale (négociation des règles de l'Assurance chômage, demandes exprimées par les organismes de contrôle, etc ).

Profil recherché:

Formation supérieure en statistiques, économie ou équivalent.
Une première expérience professionnelle est souhaitée (idéalement avec exploitation de bases de données administratives).
Qualités requises :
* Appétence pour les questions économiques et sociales liées au marché du travail ;
* Capacité à acquérir la maîtrise de notre plateforme Big Data et de la programmation en R (tidyverse) et Python (pandas, PySpark) ;
* Goût du travail en équipe, tant du point de vue des relations humaines que de la technique (interdisciplinarité, documentation, partage de connaissances, gestion de version ) ;
* Autonomie, dynamisme, initiative, sens du service ;
* Qualités rédactionnelles.",2024-01-22,2024-01-22,75 - PARIS 12,M1403,Statisticien / Statisticienne,CDI,,,Cadre,Distribution sociale de revenus,,,,48.833494,2.415411
2,0099083,Data and Business Analyst - 92 H/F,"Notre client est un constructeur international spécialisé dans la distribution auto/moto internationale basée dans les Hauts-de-Seine.
Il recherche son futur Data et Business Analyst afin de mettre en place, d'alimenter et d'analyser des bases de données et d'être force de proposition sur la planification des ventes.Rattaché à la Direction Commerciale, le Data et Business Analyst analyse les données commerciales et participe à la planification des ventes de véhicules. Pour ce faire, les principales responsabilités du Data & Business Analyst seront les suivantes :
Conception et mise en place de bases de données (KPIs, tableaux de bord, etc.) pour le contrôle et le suivi des programmations de vente et des promotions « sell-in » et « sell-out » ;
Insertion, traitement et contrôle des données pour la planification des ventes ;
Suivi des indicateurs de performance des concessionnaires et les reproduire sous format « data visualisation » ;
Contrôle de la fiabilité des fichiers de planification des ventes utilisés par les différents services de la société ;
Conception de fichiers d'aide à la vente destinés aux inspecteurs commerciaux ;
Gestion des e-mailing du service destinées à la communication des concessionnaires.
#intérim",2024-01-21,2024-01-21,92 - CLICHY,M1806,Business analyst,MIS,,,,Activités des agences de travail temporaire,,,,48.90348,2.304932
3,0098902,Développeur Data Analyst H/F - Groupe Airbus,"Airbus est le pionnier d'une industrie aéronautique et spatiale durable, pour un monde sûr et uni. La société innove constamment pour fournir des solutions efficaces et technologiquement avancées dans l'aérospatial, la défense et les services connectés. Dans le domaine de l'aviation commerciale, Airbus propose des avions de ligne modernes et économes en carburant ainsi que des services associés. Airbus est également un leader européen dans le domaine de la défense et de la sécurité, ainsi qu'un acteur mondial de premier plan dans le spatial. Dans le domaine des hélicoptères civils et militaires, Airbus fournit les solutions et les services les plus performants au monde.Vos missions seront :
Prendre les informations auprès des opérationnels,
Développer les outils digitaux pour la FAL A350.",2024-01-21,2024-01-21,31 - Garonne (Haute),M1403,Data analyst,MIS,,,,Activités des agences de travail temporaire,,,,,
4,0093129,Data analyst (H/F),"Viveris est un groupe de conseil et d'ingénierie spécialisé dans la conduite et la réalisation de projets dans les domaines de l'informatique et de l'électronique.

S'engager avec Viveris, c'est l'assurance de relever des défis techniques et humains tout en travaillant sur des projets innovants dans un environnement collaboratif et solidaire. 

        Contexte de la mission :

Viveris accompagne ses clients dans la valorisation de leurs données, à partir de leur captation sur le terrain, en passant par leur transport par des infrastructures sécurisées, pour enfin les mettre en forme pour prendre les meilleures décisions.  

Dans ce cadre, nous recherchons un Consultant Dataviz, de préférence expérimenté avec l'outil Tableau, afin d'accompagner notre client dans le domaine de l'énergie. 

Intégré au sein d'une Direction des Systèmes d'Information, vous êtes rattaché à une équipe en charge de la valorisation de la donnée composée de 5 personnes. 

Responsabilités :

 - Créer les tableaux de bords permettant l'analyse des performances des parcs éoliens et solaires ;
 - Echanger avec les métiers afin de comprendre leurs besoins pour réaliser des  tableaux de bords pertinents ;
 - Optimiser les requêtes SQL.


  
 Profil recherché :

Diplômé d'une formation supérieure en informatique, vous avez au moins 5 ans d'expérience dans le domaine de la présentation et visualisation de données, data visualisation, dataviz, et/ou business intelligence (BI).

Compétences techniques :

 - L'outil Tableau pour la dataviz ;
 - Les langages Python et SQL.



Nos avantages :

 - Rémunération attractive et évolutive ; 
 - Mutuelle familiale à garantie haute ;
 - Tickets restaurant pris en charge à 60% ; 
 - 100% titre de transport urbain remboursé ;
 - Primes d'intéressement, de participation et de cooptation ;
 - 2 jours de télétravail par semaine ;
 - Formation continue avec LinkedIn Learning et nos communautés techniques.",2024-01-21,2024-01-21,34 - MONTPELLIER,M1403,Data analyst,CDI,"Annuel de 40000,00 Euros à 50000,00 Euros",,Cadre,Conseil en systèmes et logiciels informatiques,,,,43.610476,3.87048
5,0089882,Data analyst (H/F),"Au sein de la Direction de l'Offre Marketing et rattaché au Responsable pôle data produit, vous êtes analyste et également data owner marketing. Vous collectez, recherchez et analysez des données, proposez et concevez des outils de reportings qui permettent aux équipes marketing de gagner.
Vous mettez en place des règles et des processus adéquats pour améliorer la data quality.
Périmètre internationale.
Principales Missions :
Mettre en place des outils de reporting dans le domaine marketing : 
-  En suivant les remontées terrain, définir et prioriser les KPI, tableaux de bord et les principaux indicateurs de performance nécessaire aux équipes marketing
- Elaborer le cahier des charges avec les équipes
- Organiser les recettes avec les métiers.
- Former et accompagner les utilisateur
- Gérer la documentation
- Participer à l'amélioration continue, au déploiement et au partage du reporting
Structurer et améliorer la qualité de la donnée de son domaine marketing : 
- Identifier les données pertinentes
-  Analyser et optimiser l'utilisation des données (identifier les lacunes et opportunités d'amélioration)
-  Concevoir et documenter les règles de gestion des données (définition, responsabilité, collecte, traitements, usage, structure, flux ...)
- Etablir et suivre les processus et procédure de collecte, qualité, partage et protection des données.
-  Assurer la conformité aux réglementations et aux normes de l'industrie en matière de gestion des données (RGPD, ...).
-  Avec les data stewards, maintenir/Superviser et sécuriser les données
Gérer les projets : 
- Définir la gouvernance projet (objectifs, instances, outils de suivi)
- Coordonner les projets dans le respect des délais et des budgets
- Piloter les participants au projet
- Gérer les instances et remonter les points bloquants
-  Assurer la communication autour des projets


  
 De formation Ecole d'ingénieur ou de commerce vous avez une éxpérience de 5 à 10 ans dans l'analyse de la data et/ ou la data gouvernance.
Vous êtes structuré et logiques. Vous avez des capacités de synthèse et d'écoute développées. Vous savez intéragir avec tous types d'interlocuteurs.
Vous maitrisez l'anglais.
Déplacements très ponctuels en France et à l'étranger sont à prévoir.",2024-01-21,2024-01-21,92 - ST CLOUD,M1403,Data analyst,CDI,"Annuel de 55000,00 Euros à 60000,00 Euros",,Cadre,Activités des sièges sociaux,,,,48.850588,2.211247
6,0088567,Data analyst (H/F),"Nous recherchons un Manager/Responsable data analyste afin de manager une équipe.

Missions :
- Accompagner l'équipe support sédentaire dans ses missions quotidiennes,
- Assurer le pilotage, l'organisation, l'optimisation de l'activité de l'équipe, en assurer le suivi des indicateurs ++ au travers des outils de reporting (logiciels + fichiers Excel), les analyser, adapter et mettre en place si besoin les actions correctives nécessaires à l'atteinte des objectifs fixés,
- Appliquer la politique commerciale et les niveaux de rentabilité souhaités, en relation directe avec la Direction Commerciale ,
- Analyser les structures de prix et vérifier la rentabilité des offres commerciales avec les outils de suivi,
- Garantir la validation et la remontée d'informations commerciales dans les outils de suivi,
- Garantir le suivi du portefeuille de clients actifs, de l'application de leurs conditions contractuelles et leur reconduction,
- Garantir la montée en compétences des collaborateurs par la mise en place de ressources nécessaires en adéquation avec leurs besoins pouvant passer par du coaching individualisé,
- Collecter et diffuser l'information, s'informer de l'actualité et des évolutions du marché travaillé, partager l'analyse avec l'équipe.
- Entretenir la collaboration avec les chefs des ventes et les équipes itinérantes CREATION et FIDELISATION et assurer le lien avec l'équipe support pricing & suivi de clientèle.
  
 Nous recherchons idéalement une personne avec quelques années d'expérience sur un poste de Manager, avec des compétences en management et leadership, qui sait prendre des décisions et galvaniser son équipe.


- être à l'écoute et fédérer une équipe
- prendre des décisions
- aisance dans la communication
- rigoureux dans l'analyse des chiffres et dans les méthodes à mettre en place.

Vous disposez :
- d'une formation de niveau Bac +5
- d'un master en commerce, marketing, management, gestion-finance
Une expertise du secteur d'activité, du type de produits/services vendus ou a minima de la clientèle cible est souhaitable",2024-01-21,2024-01-21,80 - AMIENS,M1403,Data analyst,CDI,"Annuel de 25000,00 Euros à 30000,00 Euros",,Agent de maîtrise,Activités des agences de travail temporaire,,,,49.895894,2.314669
7,0077022,Data analyst au sein de la digital services factory f/h (H/F),"Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 83 000 collaborateurs pour un chiffre d'affaires de 19,0 mds d'euros en 2022, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. Safran s'engage dans des programmes de R&D qui préservent les priorités environnementales de sa feuille de route d'innovation technologique.



Safran est dans le top 30 des meilleurs employeurs mondiaux 2022 selon le magazine Forbes.



Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance. La société est notamment, à travers CFM International*, le leader mondial de la propulsion d'avions commerciaux court et moyen-courriers. Dans le domaine de la propulsion militaire, la société a intégralement conçu développé et produit le M88 et le M53 qui équipent respectivement le Rafale et le Mirage 2000 et sera intégrateur du moteur du futur avion de combat européen.


Descriptif missionDans le cadre de sa transformation digitale, le Support et Services Safran Aircraft Engines, au sein de sa Digital Services Factory (DSF), recrute un Data Analyst.



Dans le cadre de la mise en place des Data Stores au sein du Support et Services (MRO, gestion de flotte, données de vol, etc...), le Data Analyst met en oeuvre des outils informatiques, des techniques et des méthodes statistiques pour permettre d'organiser, synthétiser et traduire efficacement des données, « les faire parler » pour faciliter la prise de décision en fonction des besoins des opérationnels.



Il est en charge de :

o Mettre en place des tableaux de bord de consolidation des données des Stores

o Fournir un appui analytique à la conduite d'exploration et à l'analyse complexe des données

o Identifier et gérer les données structurées et non structurées, en collaboration avec les Data Stewards, et créer une structure d'information pour permettre leur exploitation

o Organiser, synthétiser et traduire les informations pour faciliter la prise de décision pour le métier

o Vulgariser et restituer de manière pertinente et sous un format exploitable les résultats aux décideurs

o Produire la documentation en lien avec toutes les activités menées : documentation de synthèse d'analyse, de modélisation, procédures de tests et résultats de tests, support informatif/tutoriel



Il est intégré au sein d'un pool Data Office et travaille en étroite collaboration avec le Data Manager SRV.",2024-01-21,2024-01-21,77 - MONTEREAU SUR LE JARD,G1302,Analyst revenue management,CDI,,,,,,,,48.5833,2.66667
8,0066411,Data Analyst Senior Power BI H/F,"À PROPOS
Engagé. pour l'égalité des chances, nous pensons que la diversité est une richesse. Nous savons respecter, apprécier et valoriser les différences de : ce sont vos qualités humaines qui seront considérées.""Connect and Create for Change""... with us !IT Link, expert des systèmes connectésChez IT Link, cela fait 35 ans que nous misons sur la connexion des technologies, des objets et des personnes pour apporter des réponses aux grands défis actuels de notre société (environnement, santé, sécurité.).
Nous accompagnons nos clients dans leurs projets d'innovation et de transformation, des technologies embarquées à l'application métier en passant par le cloud et la science des données.Pour cela, nous comptons sur nos 750 Linkers pré sur 14 agences réparties dans le monde (France, Benelux, Canada et Maroc). A horizon 2025, l'objectif est d'atteindre 1000  pour soutenir notre forte croissance.
DESCRIPTIF DU POSTEDans le cadre du développement de nos activités dans le secteur bancaire, nous recherchons un(e) Data Analyst Senior Power BI (H/F/X)Vous aurez en charge les réalisation des activités suivantes :écoute des besoinsutilisation de la donnéeconception de dashboards 
PROFILVous êtes titulaire d'un diplôme d'ingénieur ou équivalent Bac+5 avec une forte expertise Power BI et vous justifiez d'une expérience significative d'au minimum 5 ans dans des activités similaires.Expertise powerbi : utiliser powerbi pour collecter, analyser et visualiser les données Maîtrise de DAX/Power QueryCompréhension des bases de données et des requêtes SQLConnaissance Infrastructure : systèmes (Windows, Linux) A compétences égales, le poste est ouvert aux personnes en situation de handicap.Rémunération : 40 à 45K négociable selon profil et expérienceRejoindre IT Link c'est intégrer une entreprise soucieuse de donner du sens à ses actions, en mettant l'accent sur la proximité avec nos collaborateurs dans des contextes projets innovants.Retrouvez plus de détails sur nos engagements :  
LE PROCESSUS DE RECRUTEMENTUn process avec des étapes simples :Des RDV avec les équipes Business & Recrutement pour prendre le temps de se connaître et valider l'adéquation entre votre projet professionnel et nos activitésUn accompagnement à la rencontre client : on prend le temps de vous présenter le contexte et les attendus techniques en amont et on assiste avec vous au RDV avec le prescripteur technique. C'est le moment de découvrir l'environnement du projet sur lequel vous serez amené.e à travailler !Le retour est positif ? Nous finalisons les démarches administratives et vous accueillons parmi les Linkers grâce à notre parcours d'intégration personnalisé !
 « La vocation, c'est avoir pour métier sa passion. » Stendhal 
LES PLUS DE LA VIE CHEZ IT LINK Alan : mutuelle familiale et 100% digitale 
 Transports en commun à 100% 
 Mobilité nationale et internationale 
 Management de proximité",2024-01-21,2024-01-21,31 - TOULOUSE,M1403,Data analyst,CDI,,,,,,,,43.604,1.443
9,0066367,Data Analyst éditeur de logiciel (H/F),"LA SOCIÉTÉC'est aujourd'hui pour le compte d'un éditeur de logiciel SaaS spécialisé dans le développement d'une solution à destination des professionnels. Cette entreprise propose des solutions de marketing et de fidélisation pour les entreprises. Elle permet aux consommateurs de bénéficier de réductions et d'avantages exclusifs auprès de nombreuses enseignes partenaires en échange de leur engagement à acheter chez ces dernières.C'est une solution est donc avantageuse pour les professionnels mais également et avant tout pour les clients finaux.Elle recherche un Data Analyst (H/F) pour étoffer ses équipes, mais le meilleur reste à venir. :DESCRIPTION DU POSTETravailler sur la data interneProduire des rapports demandés par les équipes marketings et commercialesSuivit technique de la base de donnéesDétection et résolution des anomalies ou des problèmes de données.Optimisation des requêtesParticipations aux discussions techniquesVeille technologuesLa stack : SQL server, SQL Server reporting, Oracle, SQL Sentry.Les bonnes pratiques pour l'environnement de développement qui garantie une qualité pour l'équipe Data) : Méthodologie agile Scrum ; Jira ; pair programming ; code review ; tests unitaires ; tests intégration ; GUnit, Jest, archi monolithique hybride avec leur propre cluster SQL Server 2019, Cloud privé Smile, utilise du temps réel pour la sécurité, tous les fronts vont être des Visual Machine.PACKAGEMin : 38kMax : 42kLe package :Contrat statut cadre, 35h (pas de RTT)Convention syntecTransport et mutuelle prise en compte à 50% par l'entrepriseTicket resto 8€ pris à 50%Flexibilité horairePROFIL RECHERCHÉNE POSTULE PAS SI :Tu n'as pas entre 1 et 3 années d'expérience en tant que Data AnalystTu n'as pas un bac+3 minimumTu es en dehors de la fourchette de salaireTu souhaites du FullRemoteTu l'auras compris, nous recherchons un profil ayant une première expérience sur un poste de Data Analyst (H/F). Tu travailleras au sein du pôle algorithmie qui contrôle l'ensemble de la data et des calcules liés au cash back. Il faudra donc faire preuve d'une grande rigueur technique.Enfin, tu auras l'occasion de rejoindre une PME autofinancée qui n'a pas besoin de levée de fonds pour vivre. De plus, l'ambiance d'équipe est bonne, la moyenne d'âge est de 30 ans, l'esprit et la bienveillance font partie des valeurs de cette entreprise.Tu te retrouves au travers de cette offre et tu souhaites tenter ta chance ?Alors double-clique, on s'occupe du reste :)LES PLUS DU POSTE2 à 3 jours de remote par semaineSéminaire chaque année à l'étranger1 restos/mois offert par la sociétéJeux de société entre midi et 14hSessions de formation de 3 à 4 jours/moisFormations supplémentaires à la demande des employésPrésentions de la French tech à NewYork ; prix régulièrement remportés lors de concours.",2024-01-21,2024-01-21,69 - LYON 01,M1403,Data analyst,CDI,"De 38000,00 Euros à 38000,00 Euros",,,,,,,45.736,4.87
