ROME_Code,Nom,Adresse,Potentiel_d_embauche,Postal_Code
M1806,CAPGEMINI TECHNOLOGY SERVICES,"145 QUAI DU PRESIDENT ROOSEVELT, 92130 ISSY-LES-MOULINEAUX",4.6,92130
M1806,CAPGEMINI TECHNOLOGY SERVICES,"7 AVENUE MARIE LOUISE DELWAULLE, 59160 LILLE",4.5,59160
M1806,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",4.5,69006
M1806,SOPRA STERIA GROUP,"Service des ressources humaines, 5 PLACE DE L IRIS, 92400 COURBEVOIE",4.5,92400
M1806,INFODIS IT,"Service des ressources humaines, 165 AV DU BOIS DE LA PIE, 95700 ROISSY-EN-FRANCE",4.5,95700
M1806,EXPERIS FRANCE,"Service des ressources humaines, 22 RUE HERGE, 59650 VILLENEUVE-D-ASCQ",4.3,59650
M1806,ADAMING SERVICES,"Service des ressources humaines, 2 RUE HEGEL, 59160 LILLE",4.1,59160
M1806,AKSIS PROFIL EMPLOI PROFILEMPLOI,"18 RUE CHARLES PICARD, 02100 SAINT-QUENTIN",4.5,02100
M1806,PENELOPE L'AGENCE,"Service des ressources humaines, 39 BOULEVARD VAUBAN, 78280 GUYANCOURT",4.2,78280
M1806,ETIC EVENEMENT,"Service des ressources humaines, 21 RUE ELIE PELAS, 13016 MARSEILLE-16",4.5,13016
M1806,CAPGEMINI TECHNOLOGY SERVICES,"Service des ressources humaines, 109 AVENUE DU GENERAL EISENHOWER, 31100 TOULOUSE",4.4,31100
M1806,SYNCHRONE,"Service des ressources humaines, 405 AVENUE GALILEE, 13290 AIX-EN-PROVENCE",4.5,13290
M1806,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,"5 RUE PAULIN TALABOT, 31100 TOULOUSE",4.3,31100
M1806,GFI INFORMATIQUE,"Service des ressources humaines, 17 RUE EDOUARD DELESALLE, 59800 LILLE",4.5,59800
M1806,CAPGEMINI TECHNOLOGY SERVICES,"43 RUE PRE GAUDRY, 69007 LYON-07",4.3,69007
M1806,ASTEK,"Service des ressources humaines,  RUE DE LA TERRE VICTORIA, 35760 SAINT-GREGOIRE",3.8,35760
M1806,RENNES ATALANTE LES LANTHANIDES,"2 RUE CLAUDE CHAPPE, 35510 CESSON-SEVIGNE",3.8,35510
M1806,OBJECTWARE,"191 RUE SAINT HONORE, 75001 PARIS-01",4.0,75001
M1806,TALAN SOLUTIONS,"Service des ressources humaines, 18 RUE LA PEROUSE, 75116 PARIS-16",4.0,75116
M1806,CGI FRANCE,"Service des ressources humaines,  AV DU DOCTEUR MAURICE GRYNFOGEL, 31100 TOULOUSE",4.4,31100
H1206,ALTEN SUD OUEST," RUE ALAIN FOURNIER, 31300 TOULOUSE",4.6,31300
H1206,CAPGEMINI TECHNOLOGY SERVICES,"145 QUAI DU PRESIDENT ROOSEVELT, 92130 ISSY-LES-MOULINEAUX",4.6,92130
H1206,CAPGEMINI TECHNOLOGY SERVICES,"7 AVENUE MARIE LOUISE DELWAULLE, 59160 LILLE",4.5,59160
H1206,CAPGEMINI DEMS FRANCE,"350 AV J R G GAUTIER DE LA LAUZIERE, 13290 AIX-EN-PROVENCE",4.5,13290
H1206,SARL EVEHA,"84 RUE JEAN BAPTISTE COLBERT, 10600 LA-CHAPELLE-SAINT-LUC",4.4,10600
H1206,APTISKILLS SUD-OUEST,"11 RUE DES GAMINS, 33800 BORDEAUX",4.4,33800
H1206,CEA CENTRE DE CADARACHE,"Service des ressources humaines, 13115 SAINT-PAUL-LES-DURANCE",4.5,13115
H1206,PROTISVALOR MEDITERRANEE,"Service des ressources humaines, 58 BD CHARLES LIVON, 13007 MARSEILLE-07",4.5,13007
H1206,OTICON MEDICAL,"Service des ressources humaines, 2720 CHEMIN SAINT BERNARD, 06220 VALLAURIS",4.4,06220
H1206,BATIGERE DEVELOPPEMENT GRAND EST,"Service des ressources humaines, 1 RUE DU PONT ROUGE, 57070 METZ",4.6,57070
H1206,SOPRA STERIA GROUP,"Service des ressources humaines, 5 PLACE DE L IRIS, 92400 COURBEVOIE",4.5,92400
H1206,UMLAUT,"Service des ressources humaines, 3 BOULEVARD HENRI ZIEGLER, 31700 BLAGNAC",4.5,31700
H1206,AFD TECHNOLOGIES,"Service des ressources humaines, 50 AVENUE DES CHAMPS ELYSEES, 75008 PARIS-08",4.5,75008
H1206,EFFY CONNECT,"Service des ressources humaines, 33 AVENUE DU MAINE, 75015 PARIS-15",4.3,75015
H1206,SA GENFIT,"Service des ressources humaines, 885 AV EUGENE AVINEE, 59120 LOOS",4.4,59120
H1206,ALGAIA," ZONE DE MENEZ BRAS, 29870 LANNILIS",4.3,29870
H1206,CEA SACLAY,"Service des ressources humaines,  ROUTE DEPARTEMENTALE 306, 91190 SAINT-AUBIN",4.7,91190
H1206,ROQUETTE FRERES,"Service des ressources humaines, 80800 VECQUEMONT",4.3,80800
H1206,CENTRE RECHERCHE D'AUVERGNE-RHONE-ALPES,"Service des ressources humaines,  BUREAU DU PERSONNEL, 63122 SAINT-GENES-CHAMPANELLE",4.5,63122
H1206,POWER DISTRIB,"4 A RUE DE LUCIE, 33560 CARBON-BLANC",4.3,33560
M1403,MANPOWER (EUROPE),"118 BOULEVARD DE L EUROPE, 76100 ROUEN",2.5,76100
M1403,S.N.CA,"21 RUE ELIE PELAS, 13016 MARSEILLE-16",4.4,13016
M1403,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",4.4,69006
M1403,CAPGEMINI TECHNOLOGY SERVICES,"145 QUAI DU PRESIDENT ROOSEVELT, 92130 ISSY-LES-MOULINEAUX",4.4,92130
