,id,intitule,description,dateCreation,dateActualisation,origineOffre,romeCode,appellationlibelle,typeContrat,salaire,dureeTravailLibelleConverti,qualificationLibelle,secteurActiviteLibelle,langues,formations,permis,latitude,longitude,Departement,Ville,intitule_clean
0,168VFWW,data analyst,"crit bordeaux tertiaire recherche pour son client spécialisé dans l'aéronautique, 

, votre mission au sein du service support client france consiste à : 

1.	concevoir et développer des outils standardisés d'aide au suivi, à la décision et d'aide à l'action :
o	participer à la collecte et à la structuration des besoins opérationnels des pilotes de marchés,
o	identifier, recueillir, et structurer les données d'entrées nécessaires avec les secteurs concernés et s'assurer de leur mise à jour régulière,
o	automatiser au maximum les tâches récurrentes à faible valeur ajoutée,
o	mise en oeuvre de tableaux de bord, indicateurs,
o	accompagner les opérationnels dans la prise en main et assurer le support en service


2.	apporter un support méthode dans la formalisation des processus de travail
o	en collaboration avec les acteurs des marchés, comprendre et formaliser les chaines séquentielles d'activités des différents services,
o	?uvrer à la clarification et à la simplification de la coordination entre les acteurs,
o	centraliser l'information

?	spécificités du poste (déplacements, astreintes, nuits, occasionnelles ...) : multiples interactions en transverse (services contrôle de gestion, data management, méthodes si, supply chain...) et déplacements occasionnels à prévoir sur la région parisienne.

 vous êtes:
	ingénieur expérimenté, vous avez une formation en informatique ou data engineering.
vous connaissez les erp tels que sap, baan, reflex ; les langages/logiciels tels que sql, power bi, power query, python, talend, dataiku, ...
-	fortes aptitudes organisationnelles et d'animation/pilotage d'activités/projets transverses,
-	bonnes capacités d'écoute, d'analyse et de synthèse associées à des capacités d'agilité et d'adaptation,
-	forte autonomie, un leadership démontré et le sens du service,
-	excellentes capacités relationnelles et de communication notamment pour du travail en équipe,
une spécialisation en supply chain et/ou en contrôle de gestion et la connaissance des standards de résolution de problème seraient un plus.",2024-02-02,2024-02-02,https://candidat.pole-emploi.fr/offres/recherche/detail/168VFWW,M1805,Ingénieur / Ingénieure d'application informatique,CDD,"Annuel de 40000,00 Euros à 50000,00 Euros sur 12 mois",Temps plein,Cadre,Activités des agences de travail temporaire,non disponible,non disponible,non disponible,44.851895,-0.587877,33,bordeaux,data analyst
1,168TYJD,data analyst,"ingénieur data confirmé, vous avez envie de décoller vers une nouvelle opportunité professionnelle enrichissante ? 


à propos de la mission

en tant qu'expert(e) en data, vous serez responsable des tâches suivantes :
- recueillir et organiser le stockage de la donnée
- développer et mettre en oeuvre la gestion de la donnée globale
- accompagner les différents services en lien avec la donnée
- effectuer les actions de maintenance et de documentation liée à la donnée
poste à pourvoir dès que possible en 38 h par semaine


rémunération & avantages

rémunération : 38?000 eur - 43?000 eur par an
volume horaire hebdomadaire de base : 38 heures par semaine
avantages :
- tous vos services dans une application
- accès rapide à tous vos documents sur notre application- télétravail 
- mutuelle prise en charge à 93% 
- tickets restaurants (10eur/jour) 
- prime déplacements 
- intéressement 


profil recherché

- titulaire d'une formation type bac+3 en data
- expérience d'au moins 3 ans sur un poste similaire
- maitrise du mode projet
- bon niveau d'anglais
- rigoureux(se) et organisé(e) dans votre quotidien

- expérience : entre 24 mois et 5 ans


certificats requis

- aucun certificat requis",2024-02-02,2024-02-02,https://candidat.pole-emploi.fr/offres/recherche/detail/168TYJD,M1805,Ingénieur informaticien / Ingénieure informaticienne,CDI,"Annuel de 38000,00 Euros à 43000,00 Euros sur 12 mois",Temps plein,Employé non qualifié,Activités des agences de travail temporaire,non disponible,non disponible,non disponible,43.587984,3.976877,34,mauguio,data analyst
2,168TSRX,data analyst,"attention : cette offre est en lien avec une entrée en formation au sein de l'école the nuum factory pour un préparer un bac+5 en analyse de donnée

nous recherchons idéalement, des personnes ayant un bac +3 en informatique ou dans une filière scientifique, en cours d'obtention, ou un niveau équivalent bac + 3. nous sommes aussi ouverts à toute personne ayant de l'expérience ou ayant suivi un bootcamp intensif.

data analyst f/h en alternance au sein d'une entreprise de service public dans le secteur de l'électricité

description du poste :

au sein d'un domaine technique et opérationnel, le candidat retenu sera chargé d'appuyer les managers de l'agence sur la performance et le pilotage des activités, en se concentrant sur la dataviz et powerbi.

missions :
-	collecte et analyse des données pour améliorer le modèle d'activité de l'agence
-	développement de nouveaux rapports, tableaux de bord, et automatisation de leur mise à jour
-	mise en place d'outils d'analyse des données pour améliorer les modèles de maintenance
-	analyse des données techniques sur le parc de matériel et mise en lien avec les variations de performance

date souhaitée de début de mission : 02/09/2024

profil recherché :

autonomie, capacité d'analyse/esprit de synthèse
sens du relationnel, esprit d'équipe

avantages :

-	congés : 30 jours + 5 jours supplémentaires
-	aide au logement
-	intéressement
-	prise en charge à 100% des frais de transport quotidien
-	avantages santé
-	aide au permis de conduire",2024-02-02,2024-02-03,https://candidat.pole-emploi.fr/offres/recherche/detail/168TSRX,M1403,Data analyst,CDD,non disponible,Temps plein,Technicien,Autres enseignements,non disponible,"[{'codeFormation': '11016', 'domaineLibelle': 'analyse données', 'niveauLibelle': 'Bac+3, Bac+4 ou équivalents', 'commentaire': 'Cursus scientifique / Informatique', 'exigence': 'S'}]",non disponible,45.733849,4.869511,69,lyon,data analyst
3,168TNLN,data analyst,"les activités principales sont les suivantes :

- exploration du patrimoine et de la qualité des données issues des systèmes d'information sur les thématiques propres au domaine de l'investigation (documentation des données, métadonnées et de leur qualité)

- préparation, qualification, traitement, modélisation et enrichissement des données (documentation métier et documentation plus technique sur les méthodes utilisées et les traitements réalisés) ;

- valorisation des données d'intérêt pour le métier via des représentations visuelles et cartographiques mobilisant les données administratives et géographiques disponibles. connaissance des concepts, applications et usages des sig ;

- participer à l'émission de recommandations pour la mise en qualité des données à la source ;

- conseil, assistance et formation aux utilisateurs dans l'utilisation des données et outils cartographiques

le salaire sera déterminé en fonction du profil et de l'expérience du candidat.",2024-02-02,2024-02-04,https://candidat.pole-emploi.fr/offres/recherche/detail/168TNLN,M1403,Data analyst,CDD,"Annuel de 30000,00 Euros à 70000,00 Euros sur 12 mois",Temps plein,Employé qualifié,Activités d'ordre public et de sécurité,non disponible,"[{'codeFormation': '31025', 'domaineLibelle': 'data analytics', 'niveauLibelle': 'Bac+5 et plus ou équivalents', 'exigence': 'S'}]",non disponible,non disponible,non disponible,75,paris,data analyst
4,168SZKR,data analyst,"envie d'être plongé.e dans l'univers de l'ia où tout évolue très vite et où les perspectives d'évolutions sont considérables ?

c'est une opportunité idéale si tu es à la recherche d'un rôle qui allie conseil et startup.

nous sommes fiers de l'aventure humaine en interne et avec nos clients & partenaires. demain, tu pourrais rejoindre cette aventure.

rejoindre factonics c'est saisir l'opportunité de travailler sur des technologies récentes (aws, airflow et même des modèles llms) dans une entreprise en pleine croissance. 

nos projets sont variés et les missions sur lesquelles tu peux intervenir aussi, par exemple :

-	développement d'algorithmes pour des acteurs du domaine bancaire, retail, energie
-	développement de nouvelles méthodes de mise en qualité de données 
-	accompagnement à l'onboarding de nos nouveaux clients sur la plateforme

le rôle proposé a une double casquette : conseil auprès de nos clients historiques (bancaire, energie) sur des enjeux data analyse. la seconde casquette est de participer au développement de solution en interne et d'accompagner nos clients à utiliser ses usages d'ia  

tu seras accompagné.e. en interne pour monter rapidement en compétences sur nos différents environnements ia pour devenir un expert des sujets et pouvoir accompagner nos clients

stack technologique
-	languages: python, sql
-	cloud : s3, redshift
-	data stack: mongodb, postgresql.
-	deployment: docker, flake8, ci/cd, airflow
tu peux être un bon fit si :
-	tu es en dernière année d'école d'ingénieur ou équivalent universitaire
-	tu as d'excellentes compétences en python et sql
-	tu es curieux.se, dynamique et rigoureux.se
-	selon toi, la documentation technique est un ""must have"" pour pérenniser tes développements.
c'est un plus si :
-	tu connais déjà l'environnement aws (ecr, ecs, s3, subnet ...) et airflow (c'est un plus mais pas obligatoire dans le sens où il y aura une montée en compétence)
soft skills
-	tu es intéressé.e. pour travailler avec de la (big) data
-	tu es autonome
-	tu cherches à avoir un rôle qui compte et à rejoindre une équipe où tu contribueras à la création de l'histoire de factonics
-	tu sais travailler dans un environnement à évolution rapide
-	tu es ambitieux et souhaites te projeter dans l'aventure factonics.
 même si tu n'as pas toutes les compétences énoncées, n'hésite pas à postuler. nous croyons au potentiel de chacun et qu'une expérience sert à apprendre autant qu'à apporter !",2024-02-02,2024-02-04,https://candidat.pole-emploi.fr/offres/recherche/detail/168SZKR,M1403,Data analyst,CDI,"Annuel de 38000,00 Euros à 42000,00 Euros sur 12 mois",Temps plein,Cadre,Conseil pour les affaires et autres conseils de gestion,non disponible,non disponible,non disponible,48.875963,2.362358,75,paris,data analyst
5,0773525,data analyst,"au cœur de la dsi, sous la responsabilité du responsable si gestion, vous intégrez l'équipe data de notre client.
vous serez amenez à travailler :
 * dans le développement global de l'environnement décisionnel, de la conception du dwh jusqu'aux dataviz sous power bi
 * avec tous les métiers de l'entreprise. construction, exploitation, production, commerce, finance et bien d'autres
 * en dominante la politique rse groupe
vous devez être en mesure de comprendre d'où vient la donnée et challenger la source
 * analyser la meilleure façon d'automatiser la récupération de la donnée
 * concevoir « l'architecture » de récolte et de compilation de la donnée
 * préparer/anticiper la future restitution, en intégrant le croisement de dimension avec d'autres reportings (notamment financiers et indicateurs)
§  entités
§  temporalité et granularité dans le temps
§  scénarios : budget ou réel
o   groupe / sous groupe / conso
en collaboration avec les chefs de projet si afin de consolider les différents référentiels si
en environnement full microsoft : mssql, ssis, ssas, ssrs, power bi
 * vous êtes titulaire d'un master ou cycle d'ingénieur spécialisé dans l'it  
 * vous avez une première expérience sur un poste équivalent
 * vous maitrisé le langage sql, langages, python, r
 * vous maitrise des environnements ssis, mssql, ssas, powerbi
   
vous devez démontrer une solide compréhension du domaine du web et posséder une expertise dans les analyses liées au web. votre capacité à interpréter les données et à les traduire en informations exploitables sera cruciale pour réussir dans ce rôle.
compétences techniques requises :
 * expérience pratique avec powerbi pour la création de rapports interactifs et de tableaux de bord.
 * connaissance approfondie de bigquery pour la gestion et l'analyse de grands ensembles de données.
 * expertise sur des sujets data orientes web
   
qualités personnelles :
 * esprit analytique et capacité à résoudre des problèmes complexes.
 * excellentes compétences en communication pour collaborer efficacement avec les équipes internes et les clients.
 * capacité à travailler sur plusieurs projets simultanément et à respecter les délais.
   
���� le package salarial que nous vous proposons //
 * contrat : cdi
 * rémunération : selon profil
nous échangeons pour comprendre vos compétences et aspirations professionnelles, puis nous nous entendons sur le salaire.",2024-02-02,2024-02-02,https://candidat.pole-emploi.fr/offres/recherche/detail/0773525,M1403,Data analyst,CDI,"Annuel de 30000,00 Euros à 32500,00 Euros",non disponible,non disponible,Activités des agences de placement de main-d'œuvre,"[{'libelle': 'Français', 'exigence': 'S'}]",non disponible,non disponible,45.764043,4.835659,69,lyon,data analyst
6,0773301,data analyst,"en tant que lead sap bi hr analytics, vous interviendrez sur l'ensemble de la conception et de la définition d'architectures data. véritable expert technique vous serez le référent sur les projets data dans nos environnements sap, en particulier sur sap analytics cloud ou encore sap sf workforce analytics. vous serez en charge de développer les offres sap bi hr et de la qualité des livrables techniques.
dans des contextes techniques divers et variés, vous serez amené à accompagner les directions générales et rh de nos clients sur l'ensemble de la chaîne data. dans le cadre de vos activités et des responsabilités confiées vous interviendrez sur les points suivants :
conseil :
 * définition stratégie data : audit de la maturité data de l'organisation, audit des si, identification roadmap, chiffrage et cadrage de projet
 * audit et proposition d'architecture data sap et gouvernance de données (data governance)
technique et delivery :
 * conduire des projets de bout en bout : du cadrage à la recette, en passant par la conception de modèles de données, la collecte, l'intégration et la gestion de données provenant de différentes sources.
 * compréhension de l'environnement technique : architecture, outils, flux de données, .
 * organisation et animation d'ateliers de recueil de besoins : idéation, persona, problématique
 * mise en place d'architectures data et outils de data management
 * collecte, intégration et gestion de données provenant de diverses sources, en utilisant des technologies d'intégration de données.
 * conception de modèles de données adaptés et développements de rapports et tableaux de bords
 * rédaction de documentation fonctionnelle et/ou technique
 * responsable de la garantie et de la qualité du delivery et des livrables 
 * organisation et pilotage projet (copil, cosui, coproj)
 * accompagnement à la recette
 * formation d'utilisateurs finaux et équipes projets
acteur majeur du pôle data de sqorus :
 * construction et pilotage d'offres innovantes autour de sap bi
 * porter et développer son expertise dans le cadre de projets complexes
stack technique :  sap successfactors, sap hxm, sap report story, crystal reports, sac, successfactors workforce analytics (wfa), sap bw, sap lumira, sap fiori reports.  
vous souhaitez participer à la construction de nouvelles offres data rh innovantes et construire les usages data de demain. 
vous possédez les compétences suivantes :
 * capacité à se saisir des sujets et à proposer des solutions adaptées
 * capacité à accompagner et challenger les métiers
 * expertise avancée dans les technologies bi sap.
 * expérience pratique dans la conception d'architectures de données et dans la data rh.
 * compétences en communication pour collaborer avec des interlocuteurs variés (rh, techniques, c-level).
 * capacité à proposer des solutions innovantes et à présenter des arguments de manière structurée.
 * expérience en avant-vente serait un plus.
 * impératif français et anglais : lu, écrit, parlé
   
qui sommes-nous ?
sqorus (anciennement des systèmes et des hommes) est une entreprise de services du numérique (esn) spécialisée dans le conseil en transformation digitale des fonctions rh, finance et it. nos consultants interviennent depuis plus de  ans auprès de grandes entreprises sur des projets stratégiques, à dimension internationale, autour des systèmes d'information : stratégie d'évolution, aide au choix, intégration, business intelligence, data management, support et conduite du changement mais également sur des enjeux autour du cloud et de l'intelligence artificielle.
nous avons su nous adapter aux nouveaux enjeux digitaux, à l'arrivée du cloud, et aux évolutions des modes de travail. nous avons réussi à tisser des partenariats forts avec les principaux éditeurs du marché et à attirer des experts métiers et techniques.
notre force : nos  talents dédiés à la réussite de vos projets et partageant des valeurs fortes : la diversité, l'engagement et la solidarité, qui constituent une réelle valeur pour l'entreprise et ses clients.
great place to work depuis  années consécutives et prix des talents au trophée des esn 2018 & 2020, sqorus est sensible à l'épanouissement de ses sqorusiens, à leur évolution de carrière et à leur formation sur des solutions d'avenir.
sqorus est une entreprise handi-accueillante : tous nos postes sont ouverts aux personnes en situation de handicap",2024-02-02,2024-02-02,https://candidat.pole-emploi.fr/offres/recherche/detail/0773301,M1403,Data analyst,CDI,non disponible,non disponible,non disponible,Activités des agences de placement de main-d'œuvre,"[{'libelle': 'Français', 'exigence': 'S'}]",non disponible,non disponible,48.878013,2.343957,75,paris,data analyst
7,0771521,data analyst,"descriptif du poste:

ai&data  recherche aujourd'hui des data analysts expérimentés (2 ans d'expérience minimum) avec une appétence pour le marketing et ayant de l expérience autour de l exploitation de données clients.
nos consultants aident les entreprises à tirer le meilleur parti des données, à mettre en place des solutions opérationnelles, à identifier et mettre en œuvre les projets liés à la transformation digitale.
il s'agira d'intégrer notre pôle customer data marketing, constitué de data analyst, data manager, data engineer, chef de projet et consultants data marketing.
sur ce poste, vous serez amené à intervenir pour de grandes entreprises sur des projets à forte valeur ajoutée. les principales tâches à réaliser seront :
-       mener des analyses exploratoires sur des données marketing, créer des algorithmes de recherche de données, gérer l administration, la modélisation des gisements de données et s assurer du bon fonctionnement des bases de données.
-       être force de proposition pour apporter un regard analytique sur des problématiques métiers et/ou business : savoir traduire et synthétiser des informations pour faciliter la prise de décision.
-       contribuer à la mise en place de projet de transformations data-driven au sein des métiers
-       communiquer avec les métiers et les équipes tech/data
-       réaliser des dashbords clairs et synthétiques
-       savoir restituer des résultats corrects.
-       documenter les travaux réalisés

profil recherché:

de formation supérieure en statistiques et mathématiques, vous justifiez d au moins 2 années d expérience acquises dans le traitement des données et les études statistiques, idéalement en société de services, dans un département de type « connaissance client » ou r&d.
vous disposez des compétences techniques confirmées en :
-       sql
-       data visualisation / dashbord : data studio, power bi, tableau software
-       connaissance des différents cloud (exemple : gcp, azure ou aws)
ce poste nécessite d avoir une grande capacité d adaptation, un bon relationnel pour communiquer à la fois avec des personnes techniques mais également des personnes issues du métiers ; une appétence business et la capacité à analyser et comprendre les enjeux.",2024-02-02,2024-02-02,https://candidat.pole-emploi.fr/offres/recherche/detail/0771521,M1403,Data analyst,CDI,non disponible,non disponible,Cadre,"Traitement de données, hébergement et activités connexes",non disponible,non disponible,non disponible,48.836976,2.242716,92,boulogne billancourt,data analyst
8,0770789,data analyst,"descriptif du poste:

¿¿¿¿envie d'intégrer une structure renommée et reconnue pour les éclairages qu'elle apporte à l'etat et la région des pays de la loire sur les questions d'emploi, de formation et d'orientation professionnelle. rejoignez-nous !
dans le cadre d'un congé maternité, vous serez attendu, au sein du pôle aide à la décision institutionnelle et individuelle (équipe pluridisciplinaire de 5 personnes).
rattaché au responsable du pôle, vous maintiendrez le système d'information du pôle, ses bases de données, et des outils de data visualisation, afin de contribuer à la production des analyses menées par l'équipe.
¿ vos principales missions sont de :
* alimenter, mettre à jour et maintenir le système d'information stats et les univers stats
* concevoir des outils de data visualisation
* outiller le système d'information du pôle
¿ conditions d'emploi :
* télétravail possible (2 jours par semaine pour un temps plein)
* 28 jours de congés et 2 ponts
* 35h temps plein (ou 39 heures avec des rtt)
* chèque déjeuner (9.15 €, prise en charge de l'employeur : 60%)
* mutuelle familiale (100% employeur)
* chèques cadeaux pour noël 
* des déplacements occasionnels, principalement à nantes, voire en région.

profil recherché:

de formation bac +3 (science des données, data analyst, informatique/statistique, .), vous avez idéalement une expérience de 6 mois minimum sur un poste similaire.
¿¿¿¿ vos atouts ?
* la maîtrise de ce qu'est un système d'information,
* la maîtrise de la gestion de bases de données relationnelles (notamment sur mysql), des langages associés (plus particulièrement sql), des langages de script (javascript), et des outils de requêtage (business object),
* une connaissance des sources de données et des nomenclatures utilisées (statistique publique.) sur le champ de l'emploi, de la formation et de l'orientation professionnelles et du tissu régional serait un plus, à défaut une curiosité/intérêt pour ce sujet,
* collaborant avec de nombreux interlocuteurs tant en interne (chargées d'études et cheffe de projet analyse socio-économique des territoires du pôle, responsables informatiques, développeur) qu'en externe (techniciens des institutions partenaires au niveau régional et national.), pédagogie et aisance relationnelle font également partie de vos atouts.",2024-02-02,2024-02-02,https://candidat.pole-emploi.fr/offres/recherche/detail/0770789,M1403,Data analyst,CDD,non disponible,non disponible,Agent de maîtrise,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale",non disponible,non disponible,non disponible,47.239367,-1.555335,44,nantes,data analyst
9,0770155,data analyst,"descriptif du poste:

nous recrutons pour le compte de notre client issu des télécoms un(e) data analyst & dataviz, avec pour missions de :
acquérir la compréhension à la fois des données à disposition et des besoins métier pour en tirer des informations pertinentes et indicateurs ;
concevoir, améliorer et déployer des tableaux de bord de pilotage de performance via power bi, service now ou salesforce analytics;
synthétiser et communiquer les résultats des modélisations au data engineer ;
effectuer ponctuellement des analyses et rapports « manuels » à partir de données extraites des différents si ;
participer aux tests et valider les données dans les nouveaux outils avant leur mise en production ;
contribuer à l'amélioration des processus.
l'intégration des données dans la base et leur préparation ne font pas partie du périmètre de la mission.
travail en équipe avec un expert métier fibre, 2 développeurs (web et bi) et un technicien support.

profil recherché:

votre profil :
vous avez un niveau bac+4/5 en université, école de commerce ou d'ingénieur avec une spécialisation data.
maîtrise d'un outil bi indispensable (power bi, tableau, oracle analytics cloud,.)
vous avez une capacité à communiquer des analyses notamment en utilisant des outils de visualisation de manière claire avec une orientation décision.
votre agilité mais aussi votre rigueur intellectuelle, votre aisance communicationnelle (oral/écrit) et votre capacité à appréhender et synthétiser rapidement des informations de nature variées seront déterminants pour votre réussite dans cette mission qui nécessite une grande adaptabilité.
vous avez une bonne maîtrise des outils bureautiques et informatiques (excel, powerpoint).
vous êtes intéressé par le domaine des télécoms et plus particulièrement de la fibre optique.  
expérience dans le poste : minimum 2 ans
déplacements à prévoir",2024-02-02,2024-02-02,https://candidat.pole-emploi.fr/offres/recherche/detail/0770155,M1403,Data analyst,CDI,non disponible,non disponible,Cadre,"Ingénierie, études techniques",non disponible,non disponible,non disponible,43.610476,3.87048,34,montpellier,data analyst
